Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
WBNB,USD,Chainlink,Chainlink_WBNB/USD,0xc8228b83f1d97a431a48bd9bc3e971c8b418d889,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x0000000000000000000000000000000000000348,Yes
WBTC,USD,Chainlink,Chainlink_WBTC/USD,0xf5c2dfd1740d18ad7cf23fba76cc11d877802937,0x0555E30da8f98308EdB960aa94C0Db47230d2B9c,0x0000000000000000000000000000000000000348,Yes
BTCB,USD,Chainlink,Chainlink_BTCB/USD,0x5939ee098eb6d411c3727b78ee665771f5cb0501,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,0x0000000000000000000000000000000000000348,Yes
USDC,USD,Chainlink,Chainlink_USDC/USD,0xd544ccb6f2231bd1ccac0258cba89e8a13d4a421,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x0000000000000000000000000000000000000348,Yes
USDT,USD,Chainlink,Chainlink_USDT/USD,0x7e262cd6226328aaf4ea5c993a952e18dd633bc8,0x55d398326f99059fF775485246999027B3197955,0x0000000000000000000000000000000000000348,Yes
ETH,USD,Chainlink,Chainlink_ETH/USD,0xd0dab9edb2b1909802b03090efbf14743e7ff967,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,0x0000000000000000000000000000000000000348,Yes
FDUSD,USD,Chainlink,Chainlink_FDUSD/USD,0x74b77011c244bd7edff34e4cbf23fe41defa313d,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409,0x0000000000000000000000000000000000000348,Yes
Cake,USD,Chainlink,Chainlink_Cake/USD,0xe6d9c66c0416c1c88ca5f777d81a7f424d4fa87b,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,0x0000000000000000000000000000000000000348,Yes
SolvBTC,USD,Chainlink,Chainlink_SolvBTC/USD,0xcba35e68a1cb2f2ca0ca4895de33cd61a3b9dbc1,0x4aae823a6a0b376De6A78e74eCC5b079d38cBCf7,0x0000000000000000000000000000000000000348,Yes
lisUSD,USD,Chainlink,Chainlink_lisUSD/USD,0xA5D8658e0Aee09A93206478B2FaDFD0929B431af,0x0782b6d8c4551B9760e74c0545a9bCD90bdc41E5,0x0000000000000000000000000000000000000348,Yes
USDT,USD,RedStone Classic,RedStoneClassic_USDT/USD,0xed29690a4d7f1b63807957fb71149a8dcfd820a4,0x55d398326f99059fF775485246999027B3197955,0x0000000000000000000000000000000000000348,Yes
USDC,USD,RedStone Classic,RedStoneClassic_USDC/USD,0x5ad9c6117ceb1981cfcb89beb6bd29c9157ab5b3,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,0x0000000000000000000000000000000000000348,Yes
USDe,USD,RedStone Classic,RedStoneClassic_USDe/USD,0xa436df7c3a77d88d1ec9275b5744bdcc187982f2,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x0000000000000000000000000000000000000348,Yes
sUSDe,USDe,RedStone Classic,RedStoneClassic_sUSDe/USDe,0x255bee201d2526bbf2753df6a6057f23431a3e1c,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,Yes
YUSD,USD,Fixed Rate,FixedRate_YUSD/USD,0xe5908cbd7b3bc2648b32ce3dc8dfad4d83afd1b4,0xAB3dBcD9B096C3fF76275038bf58eAC10D22C61f,0x0000000000000000000000000000000000000348,Yes
USR,USD,Fixed Rate,FixedRate_USR/USD,0xb92b9341be191895e8c68b170ac4528839ffe0b2,0x2492D0006411Af6C8bbb1c8afc1B0197350a79e9,0x0000000000000000000000000000000000000348,Yes
sUSDe,USD,Cross,Cross_sUSDe/USD,0x475d65970fba12874caf8660e1adbae5da8567d2,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x0000000000000000000000000000000000000348,Yes
slisBNB,WBNB,Chainlink,Chainlink_slisBNB/WBNB,0x89b18eb2e960f332dd4fb5b10df245dc7d688fe7,0xB0b84D294e0C75A6abe60171b70edEb2EFd14A1B,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Yes
slisBNB,USD,Cross,Cross_slisBNB/USD,0x740b1780ef50258cb5a165d98e28c5b9dbb0e2b6,0xB0b84D294e0C75A6abe60171b70edEb2EFd14A1B,0x0000000000000000000000000000000000000348,Yes
PT-sUSDE-26JUN2025,USDe,Pendle,Pendle_PT-sUSDE-26JUN2025/USDe,0x88e20c3fe566a397082e0632b920291364c04008,0xDD809435ba6c9d6903730f923038801781cA66ce,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,Yes
PT-sUSDE-26JUN2025,USD,Cross,Cross_PT-sUSDE-26JUN2025/USD,0x5574190340fcce41c5f90312edb3924f5faa9bbd,0xDD809435ba6c9d6903730f923038801781cA66ce,0x0000000000000000000000000000000000000348,Yes
USD1,USD,Pyth,Pyth_USD1/USD,0x575ffc02361368a2708c00bc7e299d1cd1c89f8a,0x8d0D000Ee44948FC98c9B98A4FA4921476f08B0d,0x0000000000000000000000000000000000000348,Yes
USDX,USD,RedStone Classic,RedStoneClassic_USDX/USD,0x119a51c9d585e9613a48932772e3dbbc0113cf65,0xf3527ef8dE265eAa3716FB312c12847bFBA66Cef,0x0000000000000000000000000000000000000348,Yes
USD1,USD,Chainlink,Chainlink_USD1/USD,0xb3752d48891f88ca8fbbcef8af2dfc9d680a9bc3,0x8d0D000Ee44948FC98c9B98A4FA4921476f08B0d,0x0000000000000000000000000000000000000348,Yes
